,Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
244,2020-03-20,Union Territory of Ladakh,10,0,0,34.2996,78.2932,0,10
243,2020-03-20,Union Territory of Jammu and Kashmir,4,0,0,33.7782,76.5762,0,4
242,2020-03-20,Union Territory of Chandigarh,1,0,0,30.7333,76.7794,0,1
967,2020-04-15,Kerala,0,0,211,10.8505,76.2711,3,387
959,2020-04-15,Delhi,0,0,30,28.7041,77.1025,30,1561
980,2020-04-15,Telengana,0,0,100,18.1124,79.0193,17,624
978,2020-04-15,Rajasthan,0,0,147,27.0238,74.2179,3,969
962,2020-04-15,Haryana,0,0,34,29.0588,76.0856,3,199
982,2020-04-15,Uttar Pradesh,0,0,50,26.8467,80.9462,5,660
979,2020-04-15,Tamil Nadu,0,0,81,11.1271,78.6569,12,1204
966,2020-04-15,Karnataka,0,0,71,15.3173,75.7139,10,260
970,2020-04-15,Maharashtra,0,0,259,19.7515,75.7139,178,2687
977,2020-04-15,Punjab,0,0,14,31.1471,75.3412,12,176
953,2020-04-15,Andhra Pradesh,0,0,16,15.9129,79.74,9,483
983,2020-04-15,Uttarakhand,0,0,9,30.0668,79.0193,0,37
975,2020-04-15,Odisha,0,0,18,20.9517,85.0985,1,60
976,2020-04-15,Puducherry,0,0,1,11.9416,79.8083,0,7
984,2020-04-15,West Bengal,0,0,37,22.9868,87.855,7,213
958,2020-04-15,Chhattisgarh,0,0,13,21.2787,81.8661,0,33
961,2020-04-15,Gujarat,0,0,59,22.2587,71.1924,28,650
957,2020-04-15,Chandigarh,0,0,7,30.7333,76.7794,0,21
963,2020-04-15,Himachal Pradesh,0,0,13,31.1048,77.1734,1,33
964,2020-04-15,Jammu and Kashmir,0,0,30,33.7782,76.5762,4,278
968,2020-04-15,Ladakh,0,0,10,34.2996,78.2932,0,17
969,2020-04-15,Madhya Pradesh,0,0,51,22.9734,78.6569,50,730
956,2020-04-15,Bihar,0,0,29,25.0961,85.3131,1,66
971,2020-04-15,Manipur,0,0,1,24.6637,93.9063,0,2
973,2020-04-15,Mizoram,0,0,0,23.1645,92.9376,0,1
952,2020-04-15,Andaman and Nicobar Islands,0,0,10,11.7401,92.6586,0,11
960,2020-04-15,Goa,0,0,5,15.2993,74.124,0,7
955,2020-04-15,Assam,0,0,0,26.2006,92.9376,1,32
965,2020-04-15,Jharkhand,0,0,0,23.6102,85.2799,2,27
954,2020-04-15,Arunachal Pradesh,0,0,0,28.218000000000004,94.7278,0,1
981,2020-04-15,Tripura,0,0,0,23.9408,91.9882,0,2
972,2020-04-15,Meghalaya,0,0,0,25.467,91.3662,0,1
974,2020-04-15,Nagaland,0,0,0,26.1584,94.5624,0,0
