,Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
244,2020-03-20,Union Territory of Ladakh,10,0,0,34.2996,78.2932,0,10
243,2020-03-20,Union Territory of Jammu and Kashmir,4,0,0,33.7782,76.5762,0,4
242,2020-03-20,Union Territory of Chandigarh,1,0,0,30.7333,76.7794,0,1
1066,2020-04-18,Kerala,0,0,255,10.8505,76.2711,3,396
1058,2020-04-18,Delhi,0,0,72,28.7041,77.1025,42,1707
1079,2020-04-18,Telengana,0,0,186,18.1124,79.0193,18,766
1077,2020-04-18,Rajasthan,0,0,183,27.0238,74.2179,11,1229
1061,2020-04-18,Haryana,0,0,43,29.0588,76.0856,3,225
1081,2020-04-18,Uttar Pradesh,0,0,82,26.8467,80.9462,14,849
1078,2020-04-18,Tamil Nadu,0,0,283,11.1271,78.6569,15,1323
1065,2020-04-18,Karnataka,0,0,89,15.3173,75.7139,13,359
1069,2020-04-18,Maharashtra,0,0,331,19.7515,75.7139,201,3323
1076,2020-04-18,Punjab,0,0,27,31.1471,75.3412,13,202
1052,2020-04-18,Andhra Pradesh,0,0,36,15.9129,79.74,14,572
1082,2020-04-18,Uttarakhand,0,0,9,30.0668,79.0193,0,40
1074,2020-04-18,Odisha,0,0,19,20.9517,85.0985,1,60
1075,2020-04-18,Puducherry,0,0,1,11.9416,79.8083,0,7
1083,2020-04-18,West Bengal,0,0,55,22.9868,87.855,10,287
1057,2020-04-18,Chhattisgarh,0,0,24,21.2787,81.8661,0,36
1060,2020-04-18,Gujarat,0,0,86,22.2587,71.1924,41,1099
1056,2020-04-18,Chandigarh,0,0,9,30.7333,76.7794,0,21
1062,2020-04-18,Himachal Pradesh,0,0,16,31.1048,77.1734,1,36
1063,2020-04-18,Jammu and Kashmir,0,0,42,33.7782,76.5762,5,328
1067,2020-04-18,Ladakh,0,0,14,34.2996,78.2932,0,18
1068,2020-04-18,Madhya Pradesh,0,0,69,22.9734,78.6569,69,1310
1055,2020-04-18,Bihar,0,0,37,25.0961,85.3131,2,83
1070,2020-04-18,Manipur,0,0,1,24.6637,93.9063,0,2
1072,2020-04-18,Mizoram,0,0,0,23.1645,92.9376,0,1
1051,2020-04-18,Andaman and Nicobar Islands,0,0,11,11.7401,92.6586,0,12
1059,2020-04-18,Goa,0,0,6,15.2993,74.124,0,7
1054,2020-04-18,Assam,0,0,5,26.2006,92.9376,1,35
1064,2020-04-18,Jharkhand,0,0,0,23.6102,85.2799,2,33
1053,2020-04-18,Arunachal Pradesh,0,0,0,28.218000000000004,94.7278,0,1
1080,2020-04-18,Tripura,0,0,1,23.9408,91.9882,0,2
1071,2020-04-18,Meghalaya,0,0,0,25.467,91.3662,1,9
1073,2020-04-18,Nagaland,0,0,0,26.1584,94.5624,0,0
