,Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
512,2020-03-31,Kerala,0,0,19,10.8505,76.2711,1,234
505,2020-03-31,Delhi,0,0,6,28.7041,77.1025,2,97
523,2020-03-31,Telengana,0,0,1,18.1124,79.0193,1,79
521,2020-03-31,Rajasthan,0,0,3,27.0238,74.2179,0,74
508,2020-03-31,Haryana,0,0,21,29.0588,76.0856,0,40
524,2020-03-31,Uttar Pradesh,0,0,14,26.8467,80.9462,0,101
522,2020-03-31,Tamil Nadu,0,0,4,11.1271,78.6569,1,74
244,2020-03-20,Union Territory of Ladakh,10,0,0,34.2996,78.2932,0,10
511,2020-03-31,Karnataka,0,0,5,15.3173,75.7139,3,83
515,2020-03-31,Maharashtra,0,0,39,19.7515,75.7139,9,216
520,2020-03-31,Punjab,0,0,1,31.1471,75.3412,3,41
243,2020-03-20,Union Territory of Jammu and Kashmir,4,0,0,33.7782,76.5762,0,4
501,2020-03-31,Andhra Pradesh,0,0,1,15.9129,79.74,0,40
525,2020-03-31,Uttarakhand,0,0,2,30.0668,79.0193,0,7
518,2020-03-31,Odisha,0,0,0,20.9517,85.0985,0,3
519,2020-03-31,Puducherry,0,0,0,11.9416,79.8083,0,1
526,2020-03-31,West Bengal,0,0,0,22.9868,87.855,2,26
504,2020-03-31,Chhattisgarh,0,0,0,21.2787,81.8661,0,8
242,2020-03-20,Union Territory of Chandigarh,1,0,0,30.7333,76.7794,0,1
507,2020-03-31,Gujarat,0,0,3,22.2587,71.1924,6,73
503,2020-03-31,Chandigarh,0,0,0,30.7333,76.7794,0,13
509,2020-03-31,Himachal Pradesh,0,0,0,31.1048,77.1734,1,3
510,2020-03-31,Jammu and Kashmir,0,0,2,33.7782,76.5762,2,54
513,2020-03-31,Ladakh,0,0,3,34.2996,78.2932,0,13
514,2020-03-31,Madhya Pradesh,0,0,0,22.9734,78.6569,3,47
502,2020-03-31,Bihar,0,0,0,25.0961,85.3131,1,15
516,2020-03-31,Manipur,0,0,0,24.6637,93.9063,0,1
517,2020-03-31,Mizoram,0,0,0,23.1645,92.9376,0,1
500,2020-03-31,Andaman and Nicobar Islands,0,0,0,11.7401,92.6586,0,10
506,2020-03-31,Goa,0,0,0,15.2993,74.124,0,5
